# Column 1 = Input data size
# Column 2 = Avg time for ArrayList find-value function
# Column 3 = Avg time for BinSearch find-value function
# All times are measured in microseconds
0 0.00 0.00
1024 0.02 0.01
2048 0.04 0.01
3072 0.03 0.01
4096 0.04 0.01
5120 0.04 0.01
6144 0.05 0.01
7168 0.07 0.02
8192 0.09 0.02
9216 0.10 0.02
10240 0.09 0.02
11264 0.09 0.03
12288 0.09 0.03
13312 0.10 0.04
14336 0.11 0.03
15360 0.12 0.03
16384 0.13 0.04
17408 0.15 0.04
18432 0.14 0.04
19456 0.16 0.12
20480 0.25 0.04
21504 0.17 0.05
22528 0.17 0.05
23552 0.18 0.05
24576 0.19 0.05
25600 0.23 0.06
26624 0.20 0.06
27648 0.21 0.06
28672 0.24 0.06
29696 0.26 0.07
30720 0.23 0.07
31744 0.27 0.10
32768 0.28 0.10
33792 0.30 0.14
34816 0.30 0.10
