# Column 1 = Input data size
# Column 2 = Avg time for ArrayList remove function
# Column 3 = Avg time for BinSearch remove function
# All times are measured in microseconds
0 0.00 0.00
1024 0.01 0.00
2048 0.02 0.01
3072 0.02 0.01
4096 0.03 0.01
5120 0.04 0.02
6144 0.04 0.02
7168 0.05 0.02
8192 0.06 0.03
9216 0.09 0.03
10240 0.07 0.03
11264 0.08 0.03
12288 0.10 0.04
13312 0.09 0.04
14336 0.10 0.04
15360 0.10 0.05
16384 0.12 0.05
17408 0.12 0.05
18432 0.13 0.06
19456 0.15 0.07
20480 0.14 0.06
21504 0.15 0.07
22528 0.15 0.09
23552 0.16 0.07
24576 0.18 0.10
25600 0.17 0.09
26624 0.23 0.08
27648 0.19 0.08
28672 0.20 0.09
29696 0.20 0.09
30720 0.21 0.09
31744 0.21 0.10
32768 0.22 0.10
33792 0.24 0.12
34816 0.24 0.11
